ที่,ประเภท อปท.,ชื่อ,ตำบล,อำเภอ,จังหวัด,ป่าสงวนฯ,ปีที่ถ่ายโอนภารกิจ,พื้นที่รับผิดชอบ,ชื่อหน่วยงาน,lat,long,พื้นที่เสี่ยง,บันทึกกรมป่าไม้,บันทึกกรมอุทยาน,แผนที่
307,องค์การบริหารส่วนตำบล,วะตะแบก,วะตะแบก,เทพสถิต,ชัยภูมิ,"21,582.58",2555,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลวะตะแบก,15.43145762,101.441545,50,https://drive.google.com/file/d/1GB0U1OuM47uv0nX8wub-9nP8evyvfiNf/view?usp=drive_link,,
308,องค์การบริหารส่วนตำบล,ห้วยยายจิ๋ว,ห้วยยายจิ๋ว,เทพสถิต,ชัยภูมิ,"8,588.14",2555,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลห้วยยายจิ๋ว,15.50397248,101.5028572,50,https://drive.google.com/file/d/1rqP7coStbhDvgh9fKz1Qv1Lc3JK6XLge/view?usp=drive_link,,
309,องค์การบริหารส่วนตำบล,รังงาม,รังงาม,เนินสง่า,ชัยภูมิ,55.56,2550,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลรังงาม,15.4852569,101.9610322,0,,https://drive.google.com/file/d/1WTSR_RVsxumqfsi6U9QnLWdcB5oigQyy/view?usp=drive_link,https://drive.google.com/file/d/1z80TYMiWXv1VYc5qBXz0-s7Hqs-OmpCS/view?usp=drive_link
310,องค์การบริหารส่วนตำบล,ชีบน,ชีบน,บ้านเขว้า,ชัยภูมิ,"23,890.23",2550,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลชีบน,15.86834685,101.7357802,50,,https://drive.google.com/file/d/1zYTqACyQNfvydO9yucZRoberK93Yg1EB/view?usp=drive_link,https://drive.google.com/file/d/1TaAvQDw0oDcpg55KF5H3vHegpPxqtv-v/view?usp=drive_link
311,เทศบาลตำบล,ตลาดแร้ง,ตลาดแร้ง,บ้านเขว้า,ชัยภูมิ,"4,571.98",2555,สจป.8 นครราชสีมา,เทศบาลตำบลตลาดแร้ง,15.8132264,101.8593577,0,https://drive.google.com/file/d/1qKh2RqgKBHdtjx06eR5Gzo7FiIWaGNgn/view?usp=drive_link,,
312,องค์การบริหารส่วนตำบล,ภูแลนคา,ภูแลนคา,บ้านเขว้า,ชัยภูมิ,"9,411.12",2555,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลภูแลนคา,15.91866082,101.7702627,50,https://drive.google.com/file/d/1VHYyWlZ7YeK_xHSbztCapToqVSaFdy_h/view?usp=drive_link,,
313,องค์การบริหารส่วนตำบล,สระพัง,สระพัง,บ้านแท่น,ชัยภูมิ,147.58,2556,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลสระพัง,16.4127269,102.395121,45,,,
314,องค์การบริหารส่วนตำบล,สามสวน,สามสวน,บ้านแท่น,ชัยภูมิ,"8,561.67",2555,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลสามสวน,16.4169632,102.2724561,50,https://drive.google.com/file/d/1GWjvpTCBdILVxnSIqYxObr7s-EvKliFy/view?usp=drive_link,,
315,องค์การบริหารส่วนตำบล,หนองคู,หนองคู,บ้านแท่น,ชัยภูมิ,512.57,2555,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลหนองคู,16.31083116,102.370069,45,https://drive.google.com/file/d/1nmVbFiFkHP7W5gs8e-J2gj0uHPvPIiCW/view?usp=drive_link,,
316,องค์การบริหารส่วนตำบล,โคกเพชรพัฒนา,โคกเพชรพัฒนา,บำเหน็จณรงค์,ชัยภูมิ,"9,990.00",2555,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลโคกเพชรพัฒนา,15.461958,101.573119,50,https://drive.google.com/file/d/1bFY5JHC_HWIDctUq0qDrWpFj20LdiZVZ/view?usp=drive_link,https://drive.google.com/file/d/17nFOmEJGUg2eN8xFHOyUpMolPSNYjCpl/view?usp=drive_link,
